;Strombedarf_FW;Wärmebedarf_FW
0;0,0;-282,3515373513334
1;0,0;-166,12077826613339
2;0,0;-187,05937841506676
3;0,0;-206,3482370034666
4;0,0;-216,7968588398667
5;0,0;-214,3886364650667
6;0,0;-170,80459622640004
7;0,0;-175,30916460506668
8;0,0;-150,12102793586698
9;0,0;-68,35334499733341
10;0,0;-10,894332865466918
11;0,0;222,15309465039982
12;0,0;189,19185912998412
13;0,0;519,7687085731476
14;0,0;148,69859680174983
15;0,0;5,249250648309625
16;0,0;-108,83461933080744
17;0,0;-23,99845416306851
18;0,0;103,79305664769959
19;0,0;124,58054895428305
20;0,0;5,9197263894976295
21;0,0;34,311710497720874
22;0,0;-5,9415889825280015
23;0,0;-96,70195811987085
24;0,0;-183,07423932677915
25;0,0;-237,71496484865116
26;0,0;-281,5612145652694
27;0,0;-319,4677146294666
28;0,0;-336,69869856786676
29;0,0;-334,66617740186666
30;0,0;-262,66990191080004
31;0,0;-276,29115177546663
32;0,0;-227,94627209506703
33;0,0;-99,53056301613337
34;0,0;-33,27978349546677
35;0,0;29,986136469999735
36;0,0;13,829953152533292
37;0,0;-151,77577641426657
38;0,0;-264,3829985716001
39;0,0;-333,1965606224001
40;0,0;-409,7741112745332
41;0,0;-314,58564331360014
42;0,0;-115,78642688266675
43;0,0;-86,36588063706688
44;0,0;-204,80948748026663
45;0,0;-124,48009117746673
46;0,0;-185,99695599202505
47;0,0;-282,40273309458496
48;0,0;-353,2957494171096
49;0,0;-388,3279303716001
50;0,0;-398,39731870986674
51;0,0;-400,58372379213336
52;0,0;-389,54254857573346
53;0,0;-284,8844205686667
54;0,0;-15,683539118976784
55;0,0;-128,72949951537413
56;0,0;-249,94279623004064
57;0,0;-194,55547829750748
58;0,0;144,30553626047845
59;0,0;119,73095292987134
60;0,0;228,22398971247833
61;0,0;131,3412531904097
62;0,0;110,84168073913271
63;0,0;86,91380344270235
64;0,0;-151,9421674851779
65;0,0;-92,1184302811088
66;0,0;30,273983579466677
67;0,0;48,85274472186659
68;0,0;-36,20741486759347
69;0,0;-0,3597714566668061
70;0,0;-117,60874600725624
71;0,0;-182,85280522931404
72;0,0;-296,0373004016013
73;0,0;-350,71612938059627
74;0,0;-372,3060231418666
75;0,0;-389,68050643253343
76;0,0;-389,83999495893335
77;0,0;-296,7989129126668
78;0,0;-37,539705672176815
79;0,0;-160,55958959937402
80;0,0;-360,9522096812409
81;0,0;-385,85548240470746
82;0,0;-238,95919558432172
83;0,0;-230,22501899578828
84;0,0;-168,54539598112166
85;0,0;-305,6574655195845
86;0,0;-387,82767722411774
87;0,0;-394,6255440422835
88;0,0;-410,66386627065276
89;0,0;-334,65456610950866
90;0,0;-167,03007079613354
91;0,0;-145,83290323133343
92;0,0;-225,63779302133355
93;0,0;-156,58757885986668
94;0,0;-267,85135016721597
95;0,0;-329,7875476927863
96;0,0;-416,3839863672001
97;0,0;-455,8226858396001
98;0,0;-470,5835353914668
99;0,0;-477,2829216521334
100;0,0;-469,88100755013335
101;0,0;-373,3614089334668
102;0,0;-134,40823954297684
103;0,0;-278,82285450857415
104;0,0;-461,1920543380406
105;0,0;-413,3590462347076
106;0,0;-271,505859961122
107;0,0;-222,14442457098824
108;0,0;-133,3577924175217
109;0,0;-256,6535065147842
110;0,0;-337,08167682171785
111;0,0;-365,8207330830833
112;0,0;-400,0681429062526
113;0,0;-327,20941801950875
114;0,0;-165,23955313973352
115;0,0;-151,9731503969334
116;0,0;-235,53287947013342
117;0,0;-173,12387071866672
118;0,0;-265,48325281949724
119;0,0;-323,04197160034215
120;0,0;-413,0304679397335
121;0,0;-448,7123957417334
122;0,0;-479,7389401998669
123;0,0;-503,34194417026674
124;0,0;-511,42202654706676
125;0,0;-509,08117995786677
126;0,0;-472,9597180248
127;0,0;-570,2074673546668
128;0,0;-592,481469047467
129;0,0;-545,5259013949335
130;0,0;-405,565265264667
131;0,0;-91,24220232480005
132;0,0;-215,8632795826669
133;0,0;-112,57355920426689
134;0,0;-206,69047569520004
135;0,0;-339,3693086668001
136;0,0;-549,0794037093334
137;0,0;-456,4827592407999
138;0,0;-228,50303452346682
139;0,0;-200,2846568674669
140;0,0;-335,6731415074667
141;0,0;-222,9742665414667
142;0,0;-274,45443777826233
143;0,0;-366,18397493812085
144;0,0;-437,7340888876001
145;0,0;-478,2581735284
146;0,0;-494,1746178966667
147;0,0;-505,2923973377334
148;0,0;-498,9670616849334
149;0,0;-396,3899306602668
150;0,0;-136,90336463177687
151;0,0;-282,05163250337415
152;0,0;-315,7863186136408
153;0,0;-227,45319165230757
154;0,0;91,66192830647839
155;0,0;33,8403602580448
156;0,0;-126,61520592672184
157;0,0;-281,3274291219845
158;0,0;-208,20779283811768
159;0,0;-320,40487286188346
160;0,0;-416,4442125838525
161;0,0;-350,09539960150903
162;0,0;-179,29736966253344
163;0,0;-162,25174928653348
164;0,0;-243,28100562973344
165;0,0;-178,52928258626676
166;0,0;-272,97392626404695
167;0,0;-332,16091652291857
168;0,0;-439,44228149466676
169;0,0;-464,50230909880014
170;0,0;-497,9086118782667
171;0,0;-522,9510988001334
172;0,0;-529,1316201449334
173;0,0;-496,5279303690667
174;0,0;-415,3575540513334
175;0,0;-474,09319128720034
176;0,0;-278,77994794400007
177;0,0;-121,674615556267
178;0,0;-272,4382069345334
179;0,0;-388,3562230376003
180;0,0;-441,21873049573367
181;0,0;-446,5237161749334
182;0,0;-356,5310706892004
183;0,0;-410,252956919867
184;0,0;-563,2155454196001
