;Strom_Wohnen_HZG [kWh];Strom_Wohnen_WW [kWh];Strom_Schule_HZG [kWh];Strom_Schule_WW [kWh];W1_Temp [°C];W2_Temp [°C];W3_Temp [°C];W4_Temp [°C];G1_Temp [°C];G2_Temp [°C];G3_Temp [°C];G4_Temp [°C];S1_Temp [°C];S2_Temp [°C]
2890;0;160;0;0;22,510584679142674;23,133868362557145;23,61310301338677;23,452339593127427;22,023992224729177;22,0;22,039847590844964;22,29196337992077;22,00548282365112;22,023511955930395
2891;0;160;0;0;22,55218116941667;23,18611473564678;23,657524229638756;23,501545042602483;22,042648881301425;22,004601218692706;22,071959077198798;22,37485523344665;22,016809376228032;22,045443427197707
2892;0;160;0;0;22,593888883308008;23,238215204771038;23,701759635839196;23,550555232936432;22,061683090094608;22,012987410967632;22,10651996243521;22,458773623956304;22,0312989522941;22,07039851184524
2893;0;160;0;0;22,636460637934924;23,291280874790573;23,746750062151182;23,600429568225927;22,081620283758006;22,024846405445814;22,14369718543049;22,54519575814319;22,049034203210734;22,098378794667894
2894;0;140;0;0;22,6798886105517;23,345409957431286;23,792572626888642;23,65126658879235;22,102298676216886;22,039300490946964;22,182899711210162;22,633962547911437;22,06943704754874;22,1288040037318
2895;0;40;0;0;22,714505678533524;23,387062687529475;23,82823234729463;23,69046561153458;22,116635592557547;22,047021964025912;22,213118873476123;22,701050340638737;22,07938306507525;22,149939632171403
2896;0;0;0;0;22,742535106061684;23,419257160548238;23,856341888970135;23,720915490571752;22,126637449515634;22,048630113594495;22,235882479011394;22,750885828041763;22,079831961774385;22,162537550045467
2897;0;0;0;0;22,763498343080087;23,44104757664191;23,876354434402877;23,741833963817545;22,13417490000701;22,04429339076624;22,251603029833333;22,7824973685952;22,067749364641156;22,166298972905164
2898;0;0;0;0;22,778068315552655;23,45470602506067;23,88959013718464;23,755155098352976;22,1356925134574;22,029827019742374;22,257251392998246;22,798414461793097;22,06216322825182;22,175729876399235
2899;0;0;0;0;22,78545835027095;23,458555128865203;23,894948213873384;23,75941409734394;22,133304079614653;22,00699606287177;22,2541608126333;22,796992452780817;22,047721053920867;22,179428663341653
2900;0;0;0;0;22,792277276018698;23,461663008127076;23,89986048493653;23,76307215801272;22,1322132919508;22,0;22,25024994315432;22,794416979293775;22,032237143765162;22,18442436852253
2901;0;0;0;0;22,79727406912604;23,46285772672398;23,903023277153803;23,764893431471734;22,14615861094808;22,006023967267172;22,27231685032602;22,811892920916545;22,01556103826732;22,18810137683763
2902;0;0;0;0;22,794711197627475;23,456402447402105;23,898697710841056;23,75913372631525;22,146858885439542;22,0;22,280624599479992;22,814942145151853;22,0;22,182966070536285
2903;0;0;0;0;22,786958024895426;23,44465733815483;23,889259759033155;23,74816332497463;22,139648326010658;22,0;22,280467552195432;22,80881324349521;22,0;22,17246521176067
2904;0;0;0;0;22,77578123597164;23,429390508953247;23,87647526836686;23,733751247147225;22,128006086644355;22,0;22,275331920544566;22,7970084446151;22,0;22,158669430292882
2905;0;0;0;0;22,76294565598191;23,41236780871122;23,862108487552657;23,71766455892771;22,115405171629728;22,0;22,26869760779295;22,78302034590408;22,0;22,143644880932882
2906;15;0;0;0;22,749079589188423;23,39424059944915;23,846772431377513;23,7005371273885;22,102486342114787;22,0;22,261311066111052;22,767743034246728;22,0;22,127811855395862
2907;30;0;40;0;22,734977485686937;23,375837390855935;23,83123901309257;23,6831714914447;22,08998615529699;22,0;22,25406614167096;22,752288383527556;22,0;22,111715789274744
2908;30;0;40;0;22,72178861397284;23,358341179654037;23,81663504783788;23,66672529721023;22,079187477557372;22,0;22,248402457022337;22,738312306997386;22,0;22,096103664646485
2909;30;0;40;0;22,710178301048366;23,34260959823184;23,803661628638576;23,651993398206912;22,07031628158251;22,0;22,244826979250753;22,727074597960325;22,0;22,081651820746117
2910;30;40;40;0;22,713351391386414;23,346428239359962;23,807052899858057;23,655630175421013;22,07370205821297;22,0;22,257791263350438;22,748973445430845;22,0;22,08304566799604
2911;30;80;0;0;22,723159391118397;23,359331022518447;23,817671388969462;23,667624258181977;22,05695558864639;22,0;22,24018480614398;22,756041133546503;22,0;22,08784406025271
2912;0;160;0;0;22,73782618510394;23,378114229338465;23,833259426509546;23,68512441486193;22,044072989934506;22,0;22,230149130486595;22,7735988157821;22,0;22,0743370859028
2913;0;160;0;0;22,766598219527854;23,415159962297533;23,864207167358362;23,719790855955324;22,045525569851726;22,0;22,240605043013627;22,825213909495105;22,0;22,079943764681623
2914;0;160;0;0;22,78300667986894;23,433340984690933;23,88028815342323;23,737025435584655;22,04146087632997;22,0;22,242019271473453;22,845325628401984;22,0;22,073490054022002
2915;0;160;0;0;22,810966303346966;23,467947499668735;23,90965397022431;23,769536843133146;22,045512638903748;22,0;22,25585285410566;22,89421889420367;22,0;22,080680323144765
2916;0;160;0;0;22,845913154630324;23,511998752785857;23,946739138336753;23,810838634686064;22,055249703434484;22,0;22,279116768206773;22,960457939694805;22,010228928785654;22,097666939338517
2917;0;160;0;0;22,886883827348314;23,563606526530148;23,990211719654763;23,859240713163928;22,070955471610873;22,008858297536868;22,311712478909545;23,04073004978074;22,02971767231214;22,123191823471082
2918;0;140;0;0;22,923233874761344;23,60861441473695;24,028232596691858;23,901441257802052;22,08331527031532;22,015858082418593;22,340662751545974;23,110252527543604;22,045349043880435;22,14540732199801
2919;0;80;0;0;22,951754244552074;23,641861534543864;24,056984906714746;23,932787767483237;22,09217606395742;22,018740269711166;22,363165479673683;23,15979052045249;22,050275475375564;22,159461074895113
2920;0;0;0;0;22,977409306460892;23,66964408078177;24,08198487131807;23,959306431852784;22,104923787797016;22,024160609478358;22,386935762826337;23,20174589881048;22,04785183254077;22,172046116853615
2921;0;0;0;0;22,99420819656286;23,68436457698859;24,09673555526348;23,97381142857192;22,114099824531667;22,023004808979888;22,402375410586174;23,221216721407927;22,03119022178864;22,174338424259137
2922;0;0;0;0;23,008732101039794;23,69654469443186;24,109293562097484;23,98593247802454;22,120566632159882;22,01645093068984;22,412963089204958;23,235159070287537;22,0235671431634;22,184767919786026
2923;0;0;0;0;23,021376064078368;23,705842192821454;24,119785350148295;23,99549992386658;22,12792292568457;22,007942642005386;22,42174717234409;23,244130157967046;22,012800859862338;22,194688498447615
2924;0;0;0;0;23,031144757142037;23,712069981679818;24,127542348695496;24,002154205906194;22,131555785209038;22,0;22,42438101728366;23,246577797363262;22,00002561965419;22,202407896762825
2925;0;0;0;0;23,03904301028404;23,716200675455962;24,13359153291099;24,00689473126933;22,15076714651093;22,01193642466321;22,45173554553208;23,268827335211498;22,0;22,21052220860814
2926;0;0;0;0;23,037302609384938;23,710466973442333;24,130162127203636;24,00194400439953;22,155076394214557;22,007742972505312;22,463047544100398;23,273500979910395;22,0;22,207733428517393
2927;0;0;0;0;23,02833849218259;23,697286779258647;24,11966793587009;23,98972059619113;22,149914306467693;22,0;22,463763218574634;23,266077872899622;22,0;22,19781243224019
2928;0;0;0;0;23,013302058493604;23,67781364255733;24,103258565805643;23,971377533407722;22,13704839506923;22,0;22,455654056486594;23,248345607269187;22,0;22,18142436518986
2929;0;0;0;0;22,99505024759048;23,6549178275148;24,083782900307664;23,949778046330906;22,122421163084148;22,0;22,44472960545538;23,226411423164656;22,0;22,16261481031788
2930;0;0;0;0;22,974610932375295;23,629673371062683;24,062238319385543;23,92596092985474;22,10696263905328;22,0;22,4321311865123;23,201711812948904;22,0;22,142094242190524
2931;0;0;0;0;22,953275691335055;23,603440079988335;24,039871398237697;23,90123368033649;22,09168917590934;22,0;22,41918965506231;23,17601391814735;22,0;22,120784417534836
2932;0;0;0;0;22,932623995537142;23,577887283199754;24,018224913140223;23,877208845108704;22,078018037697543;22,0;22,40765314283781;23,151574286253346;22,0;22,099798844677032
2933;0;0;0;0;22,92895067249849;23,575612766582573;24,015725800743205;23,87494073433921;22,076578607012035;22,0;22,413708177733657;23,166431898829824;22,0;22,0967813868028
2934;0;140;0;0;22,933788649986845;23,583175481957294;24,021919999118722;23,882046674494;22,082748358689983;22,0;22,42951991156375;23,1963943514382;22,0;22,101810862255668
2935;0;160;0;0;22,947118235752573;23,601979912825193;24,037215497361682;23,89954940974819;22,067698917580888;22,0;22,41211325547123;23,2104161565197;22,005268358064388;22,11182145701074
2936;0;160;0;0;22,971928501093558;23,63571076272728;24,06483564813716;23,930964039726184;22,061677841277902;22,0;22,410982652718076;23,251609598529292;22,0;22,10977522614433
2937;0;160;0;0;23,00857763686481;23,68368652213685;24,104765822646108;23,975855584912214;22,069744452917543;22,0;22,43032892327895;23,320631995516276;22,011014393211997;22,12552092075418
2938;0;160;0;0;23,05344787091625;23,741019417688033;24,152964632729272;24,029650336097713;22,088471641814063;22,010825679234756;22,465288203331056;23,408343798325742;22,034433173800643;22,15423064693363
2939;0;160;0;0;23,10114116948344;23,801008864855245;24,20363187516402;24,08598530941844;22,111439945956164;22,03069844491393;22,50761439643372;23,502176369986284;22,064099611654513;22,188988362780833
2940;0;160;0;20;23,151668355676794;23,864311224105215;24,257083468656305;24,145403835875037;22,137470669150062;22,057468458448948;22,55585768830763;23,602983515745;22,099947325337272;22,229557019882158
2941;0;120;0;20;23,204355055905953;23,93006445802326;24,312646728118313;24,207124994845927;22,165983535528248;22,08938876353513;22,60851765469782;23,7087325533116;22,140161150536024;22,27423764969212
2942;0;80;0;20;23,255197923862365;23,992914900646348;24,36589689821291;24,266144374613372;22,225252186416082;22,15294425318934;22,660375170001984;23,809728960184593;22,193327293087588;22,317943426906158
2943;0;60;0;20;23,301204043156567;24,048575987831;24,413450747920177;24,31851807034884;22,28235682828275;22,213839976297972;22,70838075445645;23,89867708543546;22,239843378531628;22,36981909945772
2944;0;20;0;20;23,341864859628693;24,095489907973864;24,45453215272581;24,36299467467236;22,309203844216036;22,242311152246234;22,75423242356871;23,973934482622667;22,261187229523397;22,40421925094052
2945;0;0;0;20;23,37877962837702;24,137053820935105;24,491494647988702;24,402606755879805;22,335230260932075;22,266407525704565;22,79573130707989;24,039591161068454;22,274259916243842;22,433461384026767
2946;0;0;0;20;23,407561542560376;24,16813595019812;24,519746920446384;24,432427959709486;22,353738428149985;22,27820937749822;22,82485864691075;24,08521325182174;22,282902798050113;22,45877801919658
2947;0;0;0;20;23,421990466643933;24,17916377724346;24,531881638635763;24,443680357203913;22,363401476530335;22,275075840674123;22,837329947527092;24,095229348456602;22,273563727153434;22,47023889114016
2948;0;0;0;20;23,432251829043558;24,185717181569526;24,54006363057494;24,450702143591958;22,367728367090656;22,261600858914974;22,84068875916054;24,095572070217084;22,261242534134144;22,47845287203007
2949;0;0;0;0;23,440246584285592;24,18968788805751;24,5462006951676;24,455394687192218;22,387291864903677;22,27379518690603;22,86806886591041;24,116026511613715;22,246605754234544;22,48658879226411
2950;0;0;0;0;23,438247296165827;24,183360968137134;24,54255526978901;24,450023793894804;22,392527908739435;22,27001896563125;22,87961840311745;24,118622622055792;22,226562711037953;22,483403497479717
2951;0;0;0;0;23,427848682242765;24,168334535668688;24,530720964530705;24,43618706996227;22,38760365825003;22,25445882940375;22,87952109730923;24,107578911634306;22,201577926728728;22,472201798560835
2952;0;0;0;0;23,41063986512565;24,146245250714706;24,51225533458188;24,415485437738557;22,374315420313955;22,229167534409374;22,86978626324044;24,085210624202077;22,172651489860822;22,454022124383048
2953;0;0;0;0;23,390008397599384;24,120527891923025;24,490515559019993;24,391320546774807;22,358939238232793;22,20066964967097;22,856913388407342;24,058331640901308;22,14136347096674;22,433304925477934
2954;0;0;0;0;23,367393763043538;24,0926793278353;24,466903153774684;24,365145625986624;22,34287749786099;22,170671566199285;22,842568113260622;24,028974718222194;22,10865275886425;22,41102577854714
2955;0;0;0;0;23,343844572937538;24,06381634524004;24,44242184298207;24,338024945447856;22,326773670960524;22,140177106055365;22,827708227441434;23,998533388147738;22,075258963605886;22,387968055648145
2956;0;0;0;0;23,320080291681837;24,03472587942943;24,417769313099466;24,310705372997187;22,31104459293536;22,1098480274476;22,812977341278945;23,968016081544405;22,041722841600727;22,36469406515788
2957;0;0;0;0;23,311445238017566;24,02704463573128;24,410406682059165;24,303275248119448;22,304742827399057;22,09116598277871;22,813019916079213;23,973917669265226;22,02714755923066;22,358309182266336
2958;0;160;0;0;23,311336248707473;24,02920678175666;24,411747091997135;24,305226280057354;22,306088567292853;22,081991331049313;22,822852681982237;23,99493779566782;22,019551071033845;22,359967498189356
2959;0;160;0;0;23,320505343099526;24,043258963088938;24,422934331828827;24,318260727746956;22,28581764985293;22,031601385073344;22,796882686378712;23,996713764831778;22,022454608294698;22,366858859892762
2960;0;160;0;0;23,34225171619383;24,07327010615485;24,44752893434699;24,346260979638842;22,276418560561417;22,0;22,788888181565248;24,027177931846822;22,012197127491856;22,35936365701629
2961;0;160;0;0;23,37606573076394;24,117698178860337;24,484662935541504;24,387935185326402;22,281612925221705;22,0;22,801611207226447;24,085572244078335;22,01869507771562;22,369394532196488
2962;0;160;0;0;23,417463622007382;24,170793350591907;24,529430561202425;24,437845698762395;22,29663390910514;22,005146751210308;22,82885216332961;24,161434970351756;22,036804581102853;22,39163757231279
2963;0;160;0;20;23,461879189623;24,22674263518444;24,576871932871537;24,490498680644926;22,316216529161;22,019513874512334;22,863691115087132;24,243695504398655;22,061119298927284;22,419899502875502
2964;0;160;0;20;23,509109270243187;24,285981145810876;24,627074974071586;24,546211488999894;22,338851101222254;22,040797831845325;22,904466427164746;24,33295357230299;22,091621843421507;22,45398667405097
2965;0;140;0;20;23,55803427942422;24,347282996285628;24,678951516605377;24,60381983457222;22,363112468397066;22,066426962257705;22,948896441678652;24,42667088556395;22,126376533701787;22,49205160731228
2966;0;80;0;20;23,6046205844257;24,40513094423928;24,728009318266967;24,658193034351868;22,385843383047998;22,09158819978763;22,99176868759226;24,51472332057746;22,159364549010995;22,528644345774776
2967;0;60;0;20;23,64622278354451;24,455645139854138;24,771245431128126;24,705786545741123;22,406315478495408;22,113804368851834;23,03039147790437;24,590391446123075;22,18540943590954;22,560330182902547
2968;0;20;0;20;23,68222074699772;24,497012445566035;24,807696876491452;24,7451146932118;22,428356262260426;22,135178110364905;23,066683484410163;24,651730562961124;22,200183411930272;22,587006414351332
2969;0;0;0;20;23,71420812336063;24,532639684420385;24,839717072865717;24,779216083452667;22,449432412207106;22,152039190344446;23,098419751775737;24,702858019866834;22,206359611278817;22,608247322077165
2970;0;0;0;20;23,73824807658902;24,5580006120897;24,863221165409836;24,80373394908005;22,46323031779259;22,15689137221806;23,11808812017623;24,73437571073329;22,211762473694897;22,629605574894022
2971;0;0;0;20;23,749086569420736;24,564957924492546;24,871927190887916;24,81121071719824;22,468962831307245;22,1479290218709;23,122436374501234;24,733318041595933;22,200655778641785;22,638423540424913
2972;0;0;0;0;23,756114225655438;24,56784471580227;24,877006810654255;24,8148242936177;22,469762461915177;22,129787269313923;23,118646767409977;24,723664969517667;22,18686400234392;22,644323228249494
2973;0;0;0;0;23,762157229819376;24,569511299146292;24,881270932704048;24,8174093672048;22,488860841948256;22,141878911616743;23,144526489022503;24,740265333799872;22,17165079461601;22,65109212488899
2974;0;0;0;0;23,759358797535953;24,56211288027537;24,87685301015097;24,811102151800835;22,494274265909407;22,13905680172864;23,155585205805234;24,740529979686535;22,151851265176397;22,6474126721859
2975;0;0;0;0;23,749205167428777;24,547138604420034;24,865238512582078;24,79739155840667;22,49000622028253;22,12534133571704;23,155841769934852;24,72850947710929;22,12786761147729;22,636527169340283
2976;0;0;0;0;23,733298949048372;24,526249374552837;24,847991434631847;24,777894314563795;22,4777165804392;22,102705810597794;23,147219835441163;24,706502211142507;22,100730652840223;22,61951180728497
2977;0;0;0;0;23,71529852518177;24,5031614841984;24,82873269080174;24,75628546491512;22,463940849908088;22,077991141959743;23,136528963527528;24,681700733906997;22,072197564719886;22,6009911504128
2978;0;0;0;0;23,69602603478969;24,478720224134015;24,80826899914443;24,733392928240608;22,449617378828616;22,052258687903503;23,124813353299334;24,655297580073785;22,04278426922295;22,58149592812616
2979;0;0;0;0;23,676089758498303;24,45356803657321;24,787186101304584;24,709832905678915;22,435196351676893;22,026139324192414;23,112680623969258;24,628118816417558;22,012908410838236;22,561465746321975
2980;0;0;0;0;23,655997907907185;24,428291403486572;24,76598599397795;24,6861553428869;22,42088772300248;22,000033512377883;23,100532468115244;24,600933467516043;22,0;22,541340169720012
2981;0;0;0;0;23,646874374154415;24,41866996555443;24,757337139250666;24,676982222538022;22,412775038251265;22,0;23,09867181557604;24,600275262128747;22,0;22,533675963724754
2982;0;160;0;0;23,64738164917249;24,420591924807606;24,758735905317337;24,67876477617633;22,413117958372563;22,0;23,107787647358215;24,61787945427233;22,0;22,535416997494814
2983;0;160;0;0;23,65726399915554;24,434606533762192;24,770140486471835;24,691821490657208;22,39535859406525;22,0;23,086074835656255;24,619285383826895;22,003237928197244;22,542547525783043
2984;0;160;0;0;23,679996200480673;24,46500611409775;24,79529291705499;24,72024094533145;22,388595078616188;22,0;23,08243875457516;24,65004502628301;22,0;22,539487021315214
2985;0;160;0;0;23,715158124574234;24,510477997596865;24,8334657090167;24,7629280684007;22,39640931488965;22,0;23,099591959731473;24,709842918981707;22,012703302298306;22,554335507111706
2986;0;160;0;0;23,759621642294558;24,56653460777357;24,88106308338138;24,815724658198477;22,416285892442044;22,01551164106284;23,133637967194446;24,790182864428058;22,03828352453077;22,582603671757123
2987;0;160;0;0;23,807527708094007;24,626084373516203;24,931815348031325;24,871841376303173;22,440907378621418;22,040770053867554;23,175860961802474;24,87820989347184;22,070981807853137;22,61772536163682
2988;0;160;0;20;23,857995884376685;24,688655248745654;24,98506118651576;24,930747773949722;22,46819333812935;22,07266062548248;23,223720582266154;24,972879992947668;22,109833253931807;22,65864701927493
2989;0;120;0;20;23,90988187635234;24,75284526171596;25,039632561135576;24,991138844890624;22,496981391996552;22,13978241676867;23,275078970546762;25,071285326552484;22,16641420073997;22,703311239774045
2990;0;80;0;20;23,9585408586503;24,81261530881323;25,090458644223457;25,047340439438525;22,555077409211165;22,204523434810472;23,32367873139;25,162561633607712;22,22003161983067;22,758716531113723
2991;0;60;0;20;24,002558338830404;24,865486829242737;25,135817569711676;25,09716448874768;22,611120458448077;22,266728903230284;23,36863056658352;25,242353139701567;22,267255809591806;22,809725420954273
2992;0;20;0;20;24,04262463827191;24,911300358084187;25,17617025175255;25,140694016874445;22,670524816903324;22,330629511721206;23,41356287197044;25,31157114649626;22,3058166615208;22,844993876623484
2993;0;0;0;20;24,080490090476232;24,953662010147248;25,214042804547898;25,181157435464133;22,69804202729001;22,360916994574602;23,456428937716847;25,3746514074692;22,324315421596943;22,876953200293773
2994;0;0;0;20;24,111597675298302;24,9872017317389;25,244660873366463;25,21341233753806;22,71955486204906;22,38080429961012;23,48890891579296;25,420642046830846;22,33642796830402;22,904557370411084
2995;0;0;0;20;24,127773937414965;24,999724023647712;25,258420748033668;25,226212579016902;22,732055680645956;22,385792798075634;23,504506292515423;25,429485037102467;22,329605537425884;22,917510393074405
2996;0;0;0;20;24,139890235556773;25,007924804516676;25,268306704105246;25,234900039621817;22,739226169396897;22,381113429226907;23,511524412495074;25,42930190216193;22,31995204790348;22,92739947392774
2997;0;0;0;0;24,15037134489964;25,014241858119803;25,276735642317853;25,24190520745033;22,75923899472873;22,396370624151576;23,54009501622206;25,449943524057137;22,308479118964637;22,93775285708535
2998;0;0;0;0;24,15093971151754;25,010398627612417;25,275427574592424;25,23894074366541;22,764257722806438;22,39527538169367;23,552425823484466;25,452679132944954;22,29175891870314;22,936982860975807
2999;0;0;0;0;24,143526811705982;24,998318513117187;25,266320226016003;25,22793889753671;22,759129599136;22,382634642051492;23,553327886436886;25,44228174972193;22,270423623314063;22,928554611887623
3000;0;0;0;0;24,130135646513487;24,980051766068733;25,251385058824397;25,210914828455703;22,746288628057226;22,36113786402775;23,545447561109377;25,42170226112045;22,245708541439782;22,913741652643896
3001;0;0;0;0;24,114207050244808;24,959086116577843;25,234032718242695;25,19132344894715;22,732094292355693;22,33739130889578;23,535367095379122;25,397835321043804;22,219223725698264;22,897014302479977
3002;0;0;0;0;24,096557447353707;24,93627265260153;25,215056705773986;25,1699894233632;22,717313605884296;22,312345492956535;23,524012154104263;25,37182825154761;22,191505887115778;22,878931415065214
3003;0;0;0;0;24,078379097102406;24,91286042869231;25,195611766245822;25,14811837544599;22,702971782743635;22,28732608821307;23,512669987416057;25,345331580358636;22,163352598064677;22,860327052194062
3004;0;0;0;0;24,061139170801233;24,890417268468756;25,177143907501385;25,12722498103758;22,690430687441218;22,264004029318116;23,50299844147179;25,320514081610046;22,135789907841268;22,842248371807916
3005;0;0;0;0;24,059691620258555;24,889630736193677;25,176480082521238;25,126567804265736;22,68917284607779;22,254060608535816;23,509625141173192;25,33222956504202;22,126881441715412;22,84089662775947
3006;0;160;0;0;24,067371594927604;24,899498854467705;25,18519967344417;25,136056024758513;22,696085458461283;22,254178364240154;23,526725268361538;25,360458051085985;22,125633038150223;22,8481986770379
3007;0;160;0;0;24,082112142986972;24,918724100688234;25,201448412909986;25,154173814089944;22,68440510759084;22,222667559421065;23,513240039301664;25,369493416906952;22,133097294594535;22,859045289341182
