Wohnen;Gewerbe;Schule;;;;;;;;
0,000175712;0,000119496;7,60E-05;;;;;;;;
0,000157025;0,000113081;7,60E-05;;;;;;;;
0,000145375;0,000102689;7,60E-05;;;;;;;;
0,000163313;9,23E-05;7,60E-05;;;;;;;;
0,000148069;8,20E-05;7,60E-05;;;;;;;;
0,000125467;7,17E-05;7,60E-05;;;;;;;;
0,000105183;6,33E-05;7,60E-05;;;;;;;;
0,00009191;5,53E-05;7,60E-05;;;;;;;;
0,000086721;5,20E-05;7,60E-05;;;;;;;;
0,000083851;5,19E-05;7,60E-05;;;;;;;;
0,00008213;5,59E-05;7,60E-05;;;;;;;;
0,000072101;6,25E-05;7,60E-05;;;;;;;;
0,00008193;6,27E-05;7,60E-05;;;;;;;;
0,000100044;6,13E-05;7,60E-05;;;;;;;;
0,000125616;7,19E-05;7,60E-05;;;;;;;;
0,000148269;8,40E-05;7,60E-05;;;;;;;;
0,000166955;9,15E-05;7,60E-05;;;;;;;;
0,00016758;9,73E-05;7,60E-05;;;;;;;;
0,000152934;9,82E-05;7,60E-05;;;;;;;;
0,000146823;8,92E-05;7,60E-05;;;;;;;;
0,000136369;7,96E-05;7,60E-05;;;;;;;;
0,000132651;7,93E-05;7,60E-05;;;;;;;;
0,000162664;0,000104098;7,60E-05;;;;;;;;
0,000177883;0,000114223;7,60E-05;;;;;;;;
0,000176286;0,000116075;7,60E-05;;;;;;;;
0,000160045;0,000106784;7,60E-05;;;;;;;;
0,000148593;9,38E-05;7,60E-05;;;;;;;;
0,000162589;8,42E-05;7,60E-05;;;;;;;;
0,000141857;7,64E-05;7,60E-05;;;;;;;;
0,000118207;7,23E-05;7,60E-05;;;;;;;;
0,000101141;6,33E-05;6,75E-05;;;;;;;;
0,00009206;5,93E-05;6,33E-05;;;;;;;;
0,000086546;6,38E-05;6,81E-05;;;;;;;;
0,000084849;7,66E-05;8,18E-05;;;;;;;;
0,000091486;8,49E-05;9,06E-05;;;;;;;;
0,000107403;0,000107321;0,000114584;;;;;;;;
0,000130804;0,000160904;0,000171794;;;;;;;;
0,000137517;0,00025432;0,000271533;;;;;;;;
0,000138464;0,000284386;0,000303634;;;;;;;;
0,000140684;0,000289795;0,00030941;;;;;;;;
0,000147196;0,00029409;0,000313995;;;;;;;;
0,000148468;0,000260222;0,000277834;;;;;;;;
0,000143853;0,000219618;0,000234483;;;;;;;;
0,00014585;0,00021696;0,000231645;;;;;;;;
0,000143529;0,000241125;0,000257445;;;;;;;;
0,000142082;0,000249498;0,000266385;;;;;;;;
0,00016905;0,000248108;0,000264901;;;;;;;;
0,000181725;0,000189488;0,000202313;;;;;;;;
0,000178208;0,000134731;0,00014385;;;;;;;;
0,000162116;0,000114614;0,000122371;;;;;;;;
0,000150664;0,000100214;0,000106996;;;;;;;;
0,00016511;9,28E-05;9,91E-05;;;;;;;;
0,00014278;8,55E-05;9,12E-05;;;;;;;;
0,000118606;7,24E-05;7,73E-05;;;;;;;;
0,000101914;6,33E-05;6,76E-05;;;;;;;;
0,000092559;5,94E-05;6,34E-05;;;;;;;;
0,000087719;6,38E-05;6,81E-05;;;;;;;;
0,000086797;7,67E-05;8,19E-05;;;;;;;;
0,000093856;8,50E-05;9,07E-05;;;;;;;;
0,000107504;0,000107415;0,000114685;;;;;;;;
0,000131254;0,000161046;0,000171946;;;;;;;;
0,000136667;0,000254544;0,000271772;;;;;;;;
0,000136618;0,000284637;0,000303902;;;;;;;;
