H,Betriebszeit_-,Pers/m2,Qi Sommer W/m²,Qi Winter W/m²,Luftwechsel_Anlage_1_h,Luftwechsel_Infiltration_1_h,Warmwasserbedarf_W_m2,Lüfterstrom_W_m2,"Aufzug, Regelung etc._W_m2",Beleuchtung_W_m2,Nutzerstrom_W_m2,Abwärme W/m²
6332,0.932043871,0.025890108,9.582083914,4.791041957,0.372817549,0.07,1.984611679,0.425493664,0.2,0,3.172680641,0.554033255
6333,0.932043871,0.025890108,8.572883626,4.286441813,0.372817549,0.07,1.590317968,0.425493664,0.2,0,3.054060412,0.591529088
6334,0.932043871,0.025890108,8.184950095,4.092475047,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.846114828,0.511688823
6335,0.932043871,0.025890108,6.550266063,3.275133031,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.532995842,0.523325461
6336,0.932043871,0.025890108,4.100688393,2.050344197,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.360720621,0.486799348
6337,0.932043871,0.025890108,3.476231878,1.738115939,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.025990662,0.47483947
6338,0.932043871,0.025890108,3.30063148,1.65031574,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.931862869,0.508456424
6339,0.932043871,0.025890108,3.258523221,1.629261611,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.909291408,0.537224778
6340,0.932043871,0.025890108,3.292568196,1.646284098,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.927540674,0.773513174
6341,0.932043871,0.025890108,3.599868892,1.799934446,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.092264312,1.509853754
6342,0.932043871,0.025890108,5.04409257,2.522046285,0.372817549,0.07,0.788587422,0.425493664,0.2,0,1.866417388,1.429043769
6343,0.932043871,0.025890108,6.888159359,3.44407968,0.372817549,0.07,1.590317968,0.425493664,0.2,0,2.573336325,1.279706918
6344,0.932043871,0.025890108,7.953802633,3.976901316,0.372817549,0.07,2.37890539,0.425493664,0.2,0,2.722211916,1.240594885
6345,0.932043871,0.025890108,6.585971571,3.292985785,0.372817549,0.07,2.37890539,0.425493664,0.2,0,2.692917042,1.302980193
6346,0.932043871,0.025890108,6.446207989,3.223103995,0.372817549,0.07,1.984611679,0.425493664,0.2,0,2.617999002,1.289727356
6347,0.932043871,0.025890108,6.489212168,3.244606084,0.372817549,0.07,1.196024257,0.425493664,0.2,0,2.641050707,1.366658461
6348,0.932043871,0.025890108,7.075144107,3.537572053,0.372817549,0.07,1.984611679,0.425493664,0.2,0,2.95513018,1.068307998
6349,0.932043871,0.025890108,6.933588684,3.466794342,0.372817549,0.07,2.37890539,0.425493664,0.2,0,2.879251653,1.042448803
6350,0.932043871,0.025890108,6.257168786,3.128584393,0.372817549,0.07,2.37890539,0.425493664,0.2,0,2.516667551,1.067984758
6351,0.932043871,0.025890108,5.777851374,2.888925687,0.372817549,0.07,1.984611679,0.425493664,0.2,0,2.259737095,1.095783393
6352,0.932043871,0.025890108,5.518034459,2.75901723,0.372817549,0.07,1.984611679,0.425493664,0.2,0,2.120466381,1.088025634
6353,0.932043871,0.025890108,5.88267406,2.94133703,0.372817549,0.07,3.574929647,0.425493664,0.2,0,2.315925625,1.079621396
