;Losfahren;cumulative_Los;Ankommen;cumulative_Ank
0;4;4;0,9;0,9
1;1,5;5,5;0,6;1,5
2;1;6,5;0,5;2
3;0,9;7,4;0,5;2,5
4;0,9;8,3;0,6;3,1
5;1,6;9,9;0,9;4
6;4,8;14,7;1,6;5,6
7;11,4;26,1;2,8;8,4
8;11,6;37,7;3;11,4
9;10,4;48,1;3,2;14,6
10;7,3;55,4;3,6;18,2
11;4,9;60,3;3,9;22,1
12;4,5;64,8;3,9;26
13;4,9;69,7;4,4;30,4
14;4,4;74,1;5;35,4
15;3,9;78;6,2;41,6
16;3,5;81,5;7,8;49,4
17;3,4;84,9;8,8;58,2
18;3,4;88,3;10;68,2
19;3,4;91,7;8;76,2
20;3;94,7;7;83,2
21;2,7;97,4;7;90,2
22;1,6;99;5,8;96
23;1;100;4;100
