Personen;Werktag;Wochenende;Werktag;Wochenende
Stunde;Belegung [%];Belegung [%];Belegung [%];Belegung [%]
0;50;50;10;10
1;50;50;10;10
2;50;50;10;10
3;50;50;10;10
4;50;50;10;10
5;60;50;60;60
6;65;50;70;70
7;70;60;70;70
8;50;70;80;80
9;40;70;90;90
10;40;60;100;100
11;40;60;100;100
12;40;60;100;100
13;40;60;100;100
14;40;60;100;100
15;40;60;100;100
16;40;60;100;100
17;60;60;100;100
18;70;80;100;100
19;80;80;90;90
20;80;80;80;80
21;70;80;70;70
22;60;70;50;50
23;50;70;30;30
