;LadeLeistungAuﬂenstehende;LadeLeistungExterneStationen;buildingDemandHourly;carDemandHourly;eMobilityCharge;eMobilityDischarge;fahrverbrauchLokal;fahrverbrauchNetz;gridChargingHourly;pvChargingHourly;resLastAfterEMobility;resLastAfterZureisende;resLastBeforeEMobility
3785;0,0;0;0,0;48,12350072850069;0,0;0,0;0,0;48,12350072850069;600,0;0,0;92,560419937;92,560419937;92,560419937
3786;0,0;0;0,0;45,51990712359889;0,0;0,0;0,0;45,51990712359889;795,0;0,0;169,52179603000002;169,52179603000002;169,52179603000002
3787;0,0;0;0,0;35,14127720091659;0,0;0,0;0,0;35,14127720091659;975,0;0,0;222,289632589;222,289632589;222,289632589
3788;0,0;0;0,0;66,33333334159188;0,0;0,0;0,0;66,33333334159188;1095,0;0,0;221,41068535;221,41068535;221,41068535
3789;0,0;0;0,0;24,957947109004607;0,0;0,0;0,0;24,957947109004607;1125,0;0,0;220,908788615;220,908788615;220,908788615
3790;0,0;0;0,0;18,856517513521702;0,0;0,0;0,0;18,856517513521702;1170,0;0,0;193,254664835;193,254664835;193,254664835
3791;0,0;0;0,0;15,034067558086376;0,0;0,0;0,0;15,034067558086376;1170,0;0,0;168,45170249;168,45170249;168,45170249
3792;0,0;0;0,0;19,868448959273465;0,0;0,0;0,0;19,868448959273465;1080,0;0,0;147,81044752499997;147,81044752499997;147,81044752499997
3793;0,0;0;0,0;13,36462669961099;0,0;0,0;0,0;13,36462669961099;1035,0;0,0;137,189748835;137,189748835;137,189748835
3794;0,0;0;0,0;15,21477789476808;0,0;0,0;0,0;15,21477789476808;1020,0;0,0;133,84839822;133,84839822;133,84839822
3795;0,0;0;0,0;15,155292146566527;0,0;0,0;0,0;15,155292146566527;1005,0;0,0;136,487664595;136,487664595;136,487664595
3796;0,0;0;0,0;13,092071024225236;0,0;0,0;0,0;13,092071024225236;990,0;0,0;131,340867997;131,340867997;131,340867997
3797;0,0;0;0,0;15,971090258580455;0,0;0,0;0,0;15,971090258580455;975,0;0,0;122,92407360499999;122,92407360499999;122,92407360499999
3798;0,0;0;0,0;55,83346718826905;0,0;0,0;0,0;55,83346718826905;840,0;0,0;152,38370152700003;152,38370152700003;152,38370152700003
3799;0,0;0;0,0;111,15955209120185;0,0;0,0;0,0;111,15955209120185;585,0;0,0;174,23726065;174,23726065;174,23726065
3800;0,0;0;0,0;140,02909136534595;0,0;0,0;0,0;140,02909136534595;300,0;0,0;173,196700164;173,196700164;173,196700164
