;LadeLeistungAuﬂenstehende;LadeLeistungExterneStationen;buildingDemandHourly;carDemandHourly;eMobilityCharge;eMobilityDischarge;entladungLokal;entladungNetz;fahrverbrauchLokal;fahrverbrauchNetz;gridChargingHourly;pvChargingHourly;pvChargingHourlyMitVerluste;resLastAfterEMobility;resLastAfterZureisende;resLastBeforeEMobility;ungenutzteLadung
28;0,0;30,89152500911451;15,0;5,078357674704078;0,0;15,0;0,0;15,789473684210527;0,0;5,078357674704078;1,5047089970873946;0,0;0,0;172,33046577;172,33046577;187,33046577;56,84000995729834
29;0,0;0,0;41,767571285142594;37,95982298555751;0,0;41,767571285142594;0,0;43,96586451067642;0,0;37,95982298555751;6,612007624013214;0,0;0,0;156,5371209068574;156,5371209068574;198,304692192;72,39808902430353
30;0,0;0,0;9,484920921991261;72,930430529477;0,0;9,484920921991261;0,0;9,984127286306592;0,0;72,930430529477;27,443249342072747;0,0;0,0;266,41367940000873;266,41367940000873;275,898600322;100,0
31;0,0;166,6961168133502;0,0;162,1021788409373;0,0;0,0;0,0;0,0;0,0;162,10217884093728;29,40511388868415;0,0;0,0;333,88552131;333,88552131;333,88552131;100,0
32;0,0;174,90226785490108;15,0;177,1254368509256;0,0;15,0;0,0;15,789473684210527;0,0;177,1254368509256;35,3799881683826;0,0;0,0;374,544964356;374,544964356;389,544964356;55,61149574331583
33;0,0;92,04692795123763;30,0;130,13986478865831;0,0;30,0;0,0;31,578947368421055;0,0;130,13986478865834;41,068209575708714;0,0;0,0;285,27178961;285,27178961;315,27178961;69,13169202280325
34;0,0;21,954279611185864;28,214984645788547;142,16900745795525;0,0;28,214984645788547;0,0;29,699983837672157;0,0;142,16900745795525;50,655560725322545;0,0;0,0;224,3397654802115;224,3397654802115;252,55475012600004;86,12215087763562
35;0,0;65,97383844465193;15,0;72,93056048507076;0,0;15,0;0,0;15,789473684210527;0,0;72,93056048507076;47,27370103701894;0,0;0,0;214,41542576;214,41542576;229,41542576;84,4743951353481
36;0,0;123,09067527213689;27,806045235727737;72,50145100297509;0,0;27,806045235727737;0,0;29,26952130076604;0,0;72,50145100297509;48,46282737969815;0,0;0,0;142,76228544227226;142,76228544227226;170,568330678;81,18891868324658
37;0,0;11,197788930250598;60,0;58,27733506747261;0,0;60,0;0,0;63,15789473684211;0,0;58,27733506747261;57,608324948643144;0,0;0,0;144,81170590799994;144,81170590799994;204,81170590799994;70,64312329893075
38;0,0;19,18524364414605;15,0;79,4324103468221;0,0;15,0;0,0;15,789473684210527;0,0;79,4324103468221;83,38415181148278;0,0;0,0;290,580456918;290,580456918;305,580456918;57,6471656257622
39;0,0;32,25706490876117;43,995201908176796;59,72547618154624;0,0;43,995201908176796;0,0;46,31073885071242;0,0;59,725476181546234;55,362516754468714;0,0;0,0;387,70678184182316;387,70678184182316;431,70198374999995;79,54283480400238
40;0,0;52,36905810440782;67,96806584384109;87,29299449073824;0,0;67,96806584384109;0,0;71,54533246720115;0,0;87,29299449073822;109,85920263528227;0,0;0,0;393,6904069741589;393,6904069741589;461,658472818;63,49795457493421
41;0,0;96,12173549295323;120,66633303790417;49,19338868494222;0,0;120,66633303790417;0,0;127,01719267147807;0,0;49,19338868494222;118,20356069055003;0,0;0,0;441,79062428209573;441,79062428209573;562,4569573199999;79,48140696486715
42;0,0;0,0;80,49451388133593;23,21961087583671;0,0;80,49451388133593;0,0;84,73106724351152;0,0;23,21961087583671;141,92768272354866;0,0;0,0;474,852929222664;474,852929222664;555,3474431039999;68,26637596982341
43;0,0;63,36713016466295;113,48446846353215;48,65502743354297;0,0;113,48446846353215;0,0;119,45733522477069;0,0;48,65502743354297;104,17200213010597;0,0;0,0;417,0369706904678;417,0369706904678;530,521439154;75,21626997878998
44;0,0;163,6458205041355;100,18307709072235;42,427355950768636;0,0;100,18307709072235;0,0;105,455870621813;0,0;42,42735595076863;113,34629800104062;0,0;0,0;441,50056948527765;441,50056948527765;541,683646576;55,723347702247885
45;0,0;62,98468710409915;84,22717211148301;31,61883521529014;0,0;84,22717211148301;0,0;88,66018116998212;0,0;31,61883521529014;100,26796397280165;0,0;0,0;432,06034761251703;432,06034761251703;516,287519724;63,79260326499106
46;0,0;96,8692219605159;109,74389343960036;19,580056848331573;0,0;109,74389343960036;0,0;115,51988783115827;0,0;19,580056848331573;79,83300726196435;0,0;0,0;349,4623894163996;349,4623894163996;459,206282856;66,94925967220044
47;0,0;0,0;75,50433778108624;6,667402631745901;0,0;75,50433778108624;0,0;79,47825029588026;0,0;6,667402631745901;39,46452335636341;0,0;0,0;292,11657293691377;292,11657293691377;367,620910718;66,11904053343959
48;0,0;127,71357160174506;39,237643598557696;92,46923617655996;0,0;39,237643598557696;0,0;41,302782735323895;0,0;92,46923617655996;5,340477182025962;0,0;0,0;249,90993684344235;249,90993684344235;289,14758044200005;58,22125087753369
49;0,0;30,86261904218115;22,781951896480876;34,135804656437536;0,0;22,781951896480876;0,0;23,98100199629566;0,0;34,135804656437536;21,03455973210971;0,0;0,0;225,19482807951914;225,19482807951914;247,97677997600002;100,0
50;0,0;0,0;0,0;21,38782528109765;0,0;0,0;0,0;0,0;0,0;21,38782528109765;25,579270978990785;0,0;0,0;200,118151746;200,118151746;200,118151746;100,0
51;0,0;32,59777719632869;15,0;23,51315614019481;0,0;15,0;0,0;15,789473684210527;0,0;23,51315614019481;10,093979008186002;0,0;0,0;145,43265862;145,43265862;160,43265862;56,50094468670661
52;0,0;0,0;11,860017431169439;30,672570393233983;0,0;11,860017431169439;0,0;12,4842288749152;0,0;30,672570393233983;15,28710021261278;0,0;0,0;134,14414755083055;134,14414755083055;146,004164982;100,0
53;0,0;30,594932446929636;15,0;39,03176973953892;0,0;15,0;0,0;15,789473684210527;0,0;39,03176973953892;10,25416188518021;0,0;0,0;141,90049746;141,90049746;156,90049746;56,323285844758864
